snap,cloud,time_value,c_coord_X,c_coord_Y,c_coord_Z,Peak_Density
399,cloud-1,4.54453125,210.5769297124175,211.92391919059588,64.41477669357117,34354.18834388218
399,cloud-2,4.54453125,136.21644005529555,214.58765725991339,27.97610134770855,19797.613300134253
399,cloud-3,4.54453125,106.63120226924988,205.67792407043487,36.80567700165648,13707.894406365845
399,cloud-4,4.54453125,138.87973569424796,213.1538797736873,28.64683595069789,11454.872203148401
399,cloud-5,4.54453125,132.7035671604086,213.83787646607016,26.180839859958496,9978.68235783974
398,cloud-0,4.54375,227.98938646155315,180.36940647932275,69.82912349300828,96535610.34463355
398,cloud-1,4.54375,210.57601212865586,211.9256411833321,64.41473012715647,34422.52691258338
398,cloud-2,4.54375,136.2141125522635,214.58822828380372,27.978215125095744,19457.669038149004
398,cloud-3,4.54375,106.63165021385817,205.67829616561824,36.80563328854194,13793.10533162531
398,cloud-4,4.54375,138.87817300301367,213.15413685618105,28.64733647072501,11499.28407017332
398,cloud-5,4.54375,132.70195933055825,213.83988098802288,26.182949360274677,9934.974085672493
397,cloud-0,4.5421875,227.99174547965208,180.3744428070354,69.827828534496,57393555.41195194
397,cloud-1,4.5421875,210.5741761118502,211.9290794649898,64.41464449103972,34481.10561484368
397,cloud-2,4.5421875,136.2094819660728,214.58938625278097,27.982467565414538,18705.38931993338
397,cloud-3,4.5421875,106.6325542222554,205.6790432466289,36.80554185805477,13947.743851509988
397,cloud-4,4.5421875,138.87503428229934,213.15463873584122,28.64834383641937,11532.817416900383
397,cloud-5,4.5421875,132.69872199926886,213.843890264065,26.187149116133924,9836.259700483379
396,cloud-0,4.540625,227.99403105751583,180.37971969626926,69.8268647386868,37006829.37158743
396,cloud-1,4.540625,210.57464993245958,211.92609657713325,64.41030430092908,34511.16125308438
396,cloud-2,4.540625,136.2048811185669,214.590545817952,27.98672397187495,18000.71184426473
396,cloud-3,4.540625,106.62227169257642,205.60057412881673,36.579547272299905,22143.169349226577
396,cloud-4,4.540625,138.87187986183054,213.15515276848294,28.649368619924715,11491.039891570272
396,cloud-5,4.540625,132.69545333188304,213.847900284864,26.19131529957069,9709.16914801439
395,cloud-0,4.5375000000000005,227.99770583215505,180.3918831342402,69.8252953990171,19295872.460091427
395,cloud-1,4.5375000000000005,210.57093968517137,211.9330813567595,64.40993653524362,34736.792716508644
395,cloud-2,4.5375000000000005,136.19580483271127,214.59279447190076,27.99518554972265,16331.376646993063
395,cloud-3,4.5375000000000005,106.64404961034253,205.67963000091322,36.80447174988656,15568.443657799195
395,cloud-4,4.5375000000000005,138.865531186242,213.1562048028379,28.651466743365162,11440.920454578483
